iteration,train_loss,validation_loss
0,-1.4310741424560547,-1.2892911434173584
200,-6.195220947265625,-6.73969841003418
400,-7.1729912757873535,-7.310384750366211
600,-7.9850664138793945,-7.124156475067139
800,-8.453137397766113,-7.808418273925781
1000,-8.579986572265625,-8.911789894104004
1200,-8.885931015014648,-8.248202323913574
1400,-9.46560001373291,-9.578072547912598
1600,-9.70269775390625,-9.703354835510254
1800,-9.123207092285156,-9.911201477050781
2000,-10.698921203613281,-9.60115909576416
2200,-10.200867652893066,-9.551549911499023
2400,-10.6270170211792,-9.599376678466797
2600,-10.369341850280762,-9.430391311645508
2800,-11.441993713378906,-8.262800216674805
3000,-11.080011367797852,-9.645938873291016
3200,-10.831808090209961,-9.837776184082031
3400,-10.498031616210938,-10.485479354858398
3600,-10.785558700561523,-9.580982208251953
3800,-11.635238647460938,-10.931565284729004
4000,-11.282625198364258,-9.742642402648926
4200,-11.318707466125488,-9.00741958618164
4400,-11.208379745483398,-8.897274017333984
4600,-11.53052043914795,-9.27454662322998
4800,-10.958351135253906,-10.585983276367188
